Desc	Orthogroup	Anas	Caug	Cqua	Cscu	Dapu	Dgal	Dmag	Dmel	Dpte	Dpul	Dsil	Dste	Eaff	Ebro	Gmae	Hame	Hazt	Hexe	Hhol	Iele	Lpol	Nstr	Pcau	Pchi	Pcla	Popi	Ppac	Ppol	Psam	Ptep	Rimm	Rvar	Smar	Tcal	Tcas	Tqin	Tuco	Znev
(null)	OG0000129	3	5	7	22	11	9	7	12	8	10	21	14	16	12	3	6	6	5	9	17	12	2	4	27	6	3	23	14	50	16	6	9	5	11	11	12	6	4
(null)	OG0000130	4	9	11	13	5	5	3	6	5	5	11	8	26	7	7	5	7	8	6	9	36	6	6	9	11	12	4	15	14	10	10	24	5	10	6	6	10	6
(null)	OG0000131	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
(null)	OG0000132	10	5	5	12	9	5	7	5	5	9	5	7	7	13	12	9	12	8	7	8	14	7	13	7	7	8	3	10	11	7	8	12	5	4	6	6	11	5
(null)	OG0000133	1	3	2	6	2	3	3	3	2	1	10	2	3	5	6	1	2	0	15	2	3	1	7	2	2	3	2	2	4	3	6	1	15	2	3	1	5	3
(null)	OG0000134	6	5	9	6	6	6	4	5	7	6	5	6	8	6	5	9	8	6	7	5	16	2	6	11	10	5	5	9	9	7	4	7	3	6	6	7	7	5
(null)	OG0000136	3	6	5	8	6	4	4	5	5	5	6	11	6	11	6	3	5	3	3	7	14	3	6	4	4	3	2	14	6	4	4	3	5	7	4	3	3	5
(null)	OG0000137	6	9	9	10	4	2	8	3	3	4	8	6	10	5	15	7	6	4	12	6	13	5	8	7	7	7	5	9	15	7	13	5	6	9	5	10	7	4
(null)	OG0000138	4	25	9	0	0	0	0	0	0	0	0	15	0	13	0	7	23	0	0	0	3	0	3	9	10	0	0	0	0	0	0	0	0	0	4	0	0	3
(null)	OG0000139	0	8	15	10	5	4	2	4	6	7	17	2	6	9	6	9	5	10	4	2	17	11	8	9	7	3	0	5	6	11	23	4	10	6	1	1	6	4
(null)	OG0000141	6	9	8	8	6	6	6	8	9	5	12	6	10	9	8	11	9	5	7	8	11	5	7	11	10	9	9	12	17	8	12	6	6	9	7	6	9	8
(null)	OG0000142	7	10	12	9	7	7	6	13	4	8	11	7	11	4	8	14	9	5	14	9	28	2	9	9	11	7	2	10	5	7	10	3	13	8	8	7	9	9
(null)	OG0000143	5	9	6	11	7	5	4	6	6	7	6	8	13	8	8	5	5	10	5	6	26	8	7	6	5	5	15	12	35	8	11	5	5	14	6	6	9	5
(null)	OG0000144	3	7	6	6	5	3	6	4	4	4	6	6	5	9	7	4	8	4	7	3	11	3	7	4	4	1	12	8	13	11	13	7	22	5	6	4	6	4
(null)	OG0000145	16	18	13	23	16	17	8	15	3	19	21	22	19	72	22	16	14	4	15	34	13	3	3	21	23	8	0	25	0	32	45	3	19	8	6	29	3	13
(null)	OG0000146	11	9	26	2	7	2	3	3	2	7	7	6	30	1	1	36	27	0	1	5	6	2	22	41	28	3	0	6	0	4	1	0	1	22	2	1	18	6
(null)	OG0000148	12	5	20	10	6	5	5	5	4	8	4	5	8	10	12	7	12	3	7	9	16	5	7	13	15	6	2	12	7	5	12	4	15	5	4	5	10	10
(null)	OG0000150	2	9	4	10	27	27	23	3	6	30	15	11	10	11	5	5	14	1	8	6	10	1	6	6	8	0	7	9	11	7	8	4	2	10	3	8	9	4
(null)	OG0000151	14	30	11	28	20	22	19	25	14	21	29	23	4	12	13	9	24	18	22	27	15	9	5	14	13	16	0	8	1	33	22	10	3	8	20	30	10	13
(null)	OG0000152	4	19	9	5	6	8	9	2	5	9	31	5	3	5	11	8	9	0	16	3	5	2	2	11	9	0	9	3	12	22	8	5	3	3	2	2	3	4
(null)	OG0000153	8	13	8	8	9	7	10	7	14	6	7	6	13	9	16	7	8	4	8	7	11	18	8	7	9	8	9	9	15	14	12	8	11	8	8	11	14	7
